id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
38729,Female,Loyal Customer,29,Personal Travel,Business,354,3,3,3,3,5,3,5,5,2,2,2,5,5,5,0,0,neutral or dissatisfied
129651,Female,disloyal Customer,38,Business travel,Business,447,2,2,2,5,5,2,2,5,3,2,4,5,5,5,0,0,neutral or dissatisfied
97346,Male,Loyal Customer,54,Business travel,Business,872,1,2,2,2,4,3,3,1,1,1,1,3,1,3,2,0,neutral or dissatisfied
35305,Female,Loyal Customer,59,Business travel,Eco,1035,4,2,2,2,1,5,4,4,4,4,4,1,4,5,0,0,satisfied
63250,Male,Loyal Customer,42,Business travel,Business,3908,2,2,2,2,3,5,4,5,5,5,5,3,5,3,11,8,satisfied
2443,Male,Loyal Customer,58,Business travel,Business,2108,5,5,5,5,2,4,5,5,5,5,5,3,5,3,5,1,satisfied
57085,Male,Loyal Customer,52,Personal Travel,Business,1222,3,2,3,3,2,3,3,4,4,3,4,1,4,2,0,0,neutral or dissatisfied
15941,Male,disloyal Customer,36,Business travel,Eco,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0,neutral or dissatisfied
53794,Female,disloyal Customer,22,Business travel,Business,191,4,0,4,3,4,4,4,4,1,5,4,1,5,4,0,0,satisfied
15727,Female,Loyal Customer,7,Personal Travel,Eco,192,3,4,3,2,2,3,2,2,5,2,4,4,5,,4,0,neutral or dissatisfied
20088,Female,Loyal Customer,55,Business travel,Business,2755,5,5,5,5,2,5,5,4,4,4,4,5,4,5,22,23,satisfied
31930,Male,Loyal Customer,55,Business travel,Business,3268,1,1,5,1,2,5,4,4,4,4,4,3,4,5,0,0,satisfied
80011,Female,Loyal Customer,11,Personal Travel,Eco,1096,2,2,3,3,1,3,1,1,3,4,3,4,3,1,24,19,neutral or dissatisfied
58439,Female,Loyal Customer,47,Personal Travel,Eco,723,2,1,2,3,3,4,4,3,3,2,2,1,3,4,18,0,neutral or dissatisfied
18516,Female,Loyal Customer,26,Business travel,Eco,190,0,5,0,3,2,0,2,2,1,4,4,2,3,2,0,0,satisfied
129310,Male,Loyal Customer,64,Business travel,Business,2475,3,3,3,3,2,4,5,5,5,5,5,3,5,3,4,0,satisfied
104772,Male,Loyal Customer,37,Business travel,Eco Plus,1246,1,2,3,2,1,1,1,1,2,5,4,4,4,1,0,6,neutral or dissatisfied
126924,Female,Loyal Customer,59,Personal Travel,Business,651,4,2,4,3,3,3,3,2,2,4,2,4,2,3,0,0,neutral or dissatisfied
53367,Male,Loyal Customer,26,Business travel,Business,1452,2,5,5,5,2,2,2,2,2,4,4,2,4,2,0,15,neutral or dissatisfied
37097,Female,Loyal Customer,41,Business travel,Business,2417,3,3,2,3,2,3,4,4,4,4,4,4,4,4,0,28,satisfied
52243,Female,disloyal Customer,39,Business travel,Business,370,1,1,1,3,1,1,1,1,1,2,3,1,3,1,61,67,neutral or dissatisfied
32409,Male,disloyal Customer,36,Business travel,Eco,163,1,4,1,3,4,1,4,4,4,3,5,1,3,4,4,5,neutral or dissatisfied
13554,Female,disloyal Customer,29,Business travel,Eco,106,2,0,2,2,5,2,5,5,3,4,1,3,4,5,0,0,neutral or dissatisfied
124663,Male,Loyal Customer,49,Business travel,Business,399,2,2,2,2,4,5,5,5,5,4,5,5,5,5,0,9,satisfied
81230,Female,Loyal Customer,57,Business travel,Business,3967,3,3,3,3,5,5,5,4,4,4,5,5,4,5,0,0,satisfied
51715,Male,Loyal Customer,69,Personal Travel,Eco,355,4,4,4,3,3,4,3,3,5,4,4,3,4,3,0,0,satisfied
65748,Female,Loyal Customer,62,Personal Travel,Eco,936,0,3,0,3,1,2,1,3,3,0,3,4,3,3,0,0,satisfied
8938,Male,Loyal Customer,50,Business travel,Business,1884,5,5,5,5,3,5,4,4,4,4,4,5,4,5,0,7,satisfied
98486,Female,disloyal Customer,22,Business travel,Business,668,0,4,0,5,5,0,5,5,4,4,4,3,5,5,6,9,satisfied
84375,Female,disloyal Customer,43,Business travel,Eco,606,3,1,3,2,4,3,4,4,4,1,2,4,3,4,0,0,neutral or dissatisfied
37710,Female,Loyal Customer,43,Personal Travel,Eco,972,1,5,1,3,5,4,4,2,2,1,2,5,2,4,3,0,neutral or dissatisfied
